Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
Meso	M_001	M_027	4	646	154	0.517728	0.752315	1	1	AT4G01072;AT4G01102;AT4G01109;AT4G01391;
Meso	M_001	M_028	2	651	154	0.894113	0.894113	1	1	AT4G01112;AT4G01349;
Meso	M_001	M_029	2	521	154	0.807777	0.807777	1	1	AT4G01109;AT4G01487;
Meso	M_001	M_030	4	649	154	0.521376	0.752315	1	1	AT4G01102;AT4G01108;AT4G01159;AT4G01178;
Meso	M_001	M_031	1	575	154	0.965976	0.965976	1	1	AT4G01376;
Meso	M_001	M_032	2	643	154	0.890054	0.890054	1	1	AT4G01073;AT4G01391;
Meso	M_001	M_033	8	595	154	0.0230449	0.409335	1	1	AT4G01067;AT4G01109;AT4G01112;AT4G01178;AT4G01197;AT4G01216;AT4G01419;AT4G01487;
Meso	M_001	M_034	3	621	154	0.70159	0.752315	1	1	AT4G01216;AT4G01285;AT4G01391;
Meso	M_001	M_035	2	456	154	0.744594	0.752315	1	1	AT4G01072;AT4G01285;
Meso	M_001	M_036	3	638	154	0.718812	0.752315	1	1	AT4G01073;AT4G01180;AT4G01285;
Meso	M_001	M_037	5	672	154	0.350641	0.752315	1	1	AT4G01067;AT4G01109;AT4G01179;AT4G01487;AT4G01544;
Meso	M_001	M_038	2	779	154	0.942786	0.942786	1	1	AT4G01108;AT4G01391;
Meso	M_001	M_039	3	635	154	0.71583	0.752315	1	1	AT4G01109;AT4G01180;AT4G01285;
Meso	M_001	M_040	5	730	154	0.417324	0.752315	1	1	AT4G01159;AT4G01197;AT4G01349;AT4G01376;AT4G01487;
Meso	M_001	M_041	3	546	154	0.616238	0.752315	1	1	AT4G01108;AT4G01285;AT4G01544;
Meso	M_001	M_042	3	631	154	0.711815	0.752315	1	1	AT4G01067;AT4G01159;AT4G01197;
Meso	M_001	M_043	2	627	154	0.881503	0.881503	1	1	AT4G01109;AT4G01481;
Meso	M_001	M_044	2	503	154	0.791819	0.791819	1	1	AT4G01108;AT4G01112;
Meso	M_001	M_045	3	503	154	0.560518	0.752315	1	1	AT4G01112;AT4G01285;AT4G01487;
Meso	M_001	M_046	1	457	154	0.931494	0.931494	1	1	AT4G01179;
Meso	M_001	M_047	0	355	154	1	1	1	1	
Meso	M_001	M_048	2	746	154	0.932791	0.932791	1	1	AT4G01112;AT4G01285;
Meso	M_001	M_049	4	713	154	0.595871	0.752315	1	1	AT4G01108;AT4G01349;AT4G01481;AT4G01487;
Meso	M_001	M_050	3	721	154	0.792048	0.792048	1	1	AT4G01197;AT4G01481;AT4G01487;
Meso	M_001	M_051	2	606	154	0.869353	0.869353	1	1	AT4G01073;AT4G01108;
Meso	M_001	M_052	3	626	154	0.706736	0.752315	1	1	AT4G01072;AT4G01178;AT4G01481;
Meso	M_001	M_053	3	660	154	0.739954	0.752315	1	1	AT4G01102;AT4G01197;AT4G01391;
Meso	M_001	M_054	4	795	154	0.68064	0.752315	1	1	AT4G01073;AT4G01112;AT4G01178;AT4G01349;
Meso	M_001	M_055	2	765	154	0.93873	0.93873	1	1	AT4G01073;AT4G01544;
Meso	M_001	M_056	4	790	154	0.675841	0.752315	1	1	AT4G01102;AT4G01178;AT4G01216;AT4G01391;
Meso	M_001	M_057	2	610	154	0.871752	0.871752	1	1	AT4G01109;AT4G01487;
Meso	M_001	M_058	6	738	154	0.257846	0.752315	1	1	AT4G01067;AT4G01102;AT4G01285;AT4G01349;AT4G01391;AT4G01544;
Meso	M_001	M_059	4	675	154	0.552437	0.752315	1	1	AT4G01067;AT4G01112;AT4G01391;AT4G01544;
Meso	M_001	M_060	4	585	154	0.441127	0.752315	1	1	AT4G01102;AT4G01109;AT4G01216;AT4G01285;
Meso	M_001	M_061	4	491	154	0.318124	0.752315	1	1	AT4G01376;AT4G01391;AT4G01487;AT4G01544;
Meso	M_001	M_062	2	515	154	0.802581	0.802581	1	1	AT4G01073;AT4G01391;
Meso	M_001	M_063	1	403	154	0.905733	0.905733	1	1	AT4G01067;
Meso	M_001	M_064	4	543	154	0.386454	0.752315	1	1	AT4G01109;AT4G01180;AT4G01197;AT4G01285;
Meso	M_001	M_065	5	595	154	0.263685	0.752315	1	1	AT4G01067;AT4G01073;AT4G01178;AT4G01285;AT4G01391;
Meso	M_001	M_066	2	450	154	0.737951	0.752315	1	1	AT4G01072;AT4G01481;
Meso	M_001	M_067	1	573	154	0.965569	0.965569	1	1	AT4G01067;
Meso	M_001	M_068	2	757	154	0.936292	0.936292	1	1	AT4G01178;AT4G01197;
Meso	M_001	M_069	4	695	154	0.575603	0.752315	1	1	AT4G01067;AT4G01112;AT4G01159;AT4G01285;
Meso	M_001	M_070	6	689	154	0.211573	0.752315	1	1	AT4G01072;AT4G01102;AT4G01109;AT4G01159;AT4G01285;AT4G01544;
Meso	M_001	M_071	5	636	154	0.309516	0.752315	1	1	AT4G01072;AT4G01109;AT4G01180;AT4G01285;AT4G01544;
Meso	M_001	M_072	2	647	154	0.892101	0.892101	1	1	AT4G01072;AT4G01178;
Meso	M_001	M_073	3	741	154	0.807141	0.807141	1	1	AT4G01067;AT4G01178;AT4G01349;
Meso	M_001	M_074	4	449	154	0.263769	0.752315	1	1	AT4G01112;AT4G01159;AT4G01376;AT4G01544;
Meso	M_001	M_075	1	775	154	0.989685	0.989685	1	1	AT4G01349;
Meso	M_001	M_076	1	710	154	0.984782	0.984782	1	1	AT4G01349;
Meso	M_001	M_077	1	719	154	0.985579	0.985579	1	1	AT4G01178;
Meso	M_001	M_078	3	684	154	0.761572	0.761572	1	1	AT4G01073;AT4G01112;AT4G01180;
Meso	M_001	M_079	4	708	154	0.590298	0.752315	1	1	AT4G01067;AT4G01159;AT4G01197;AT4G01391;
Meso	M_001	M_080	2	625	154	0.880392	0.880392	1	1	AT4G01159;AT4G01216;
Meso	M_001	M_081	1	566	154	0.964107	0.964107	1	1	AT4G01067;
Meso	M_001	M_082	3	652	154	0.732414	0.752315	1	1	AT4G01067;AT4G01108;AT4G01419;
Meso	M_001	M_083	0	580	154	1	1	1	1	
Meso	M_001	M_084	4	708	154	0.590298	0.752315	1	1	AT4G01067;AT4G01180;AT4G01285;AT4G01544;
Meso	M_001	M_085	1	783	154	0.990168	0.990168	1	1	AT4G01481;
Meso	M_001	M_086	2	754	154	0.935355	0.935355	1	1	AT4G01112;AT4G01159;
Meso	M_001	M_087	0	589	154	1	1	1	1	
Meso	M_001	M_088	7	701	154	0.114131	0.752315	1	1	AT4G01067;AT4G01102;AT4G01109;AT4G01159;AT4G01285;AT4G01391;AT4G01544;
Meso	M_001	M_089	2	631	154	0.883696	0.883696	1	1	AT4G01108;AT4G01419;
Meso	M_001	M_090	2	589	154	0.858697	0.858697	1	1	AT4G01112;AT4G01179;
Meso	M_001	M_091	4	584	154	0.439839	0.752315	1	1	AT4G01067;AT4G01180;AT4G01216;AT4G01391;
Meso	M_001	M_092	5	686	154	0.366741	0.752315	1	1	AT4G01067;AT4G01108;AT4G01216;AT4G01285;AT4G01391;
Meso	M_001	M_093	3	451	154	0.487132	0.752315	1	1	AT4G01072;AT4G01112;AT4G01216;
Meso	M_001	M_094	3	565	154	0.639306	0.752315	1	1	AT4G01285;AT4G01391;AT4G01481;
Meso	M_001	M_095	2	666	154	0.901353	0.901353	1	1	AT4G01102;AT4G01391;
Meso	M_001	M_096	3	495	154	0.549635	0.752315	1	1	AT4G01102;AT4G01112;AT4G01481;
Meso	M_001	M_097	0	613	154	1	1	1	1	
Meso	M_001	M_098	4	601	154	0.461614	0.752315	1	1	AT4G01073;AT4G01102;AT4G01179;AT4G01349;
Meso	M_001	M_099	2	673	154	0.904572	0.904572	1	1	AT4G01102;AT4G01216;
Meso	M_001	M_100	3	518	154	0.580496	0.752315	1	1	AT4G01108;AT4G01109;AT4G01544;
Meso	M_001	M_101	1	740	154	0.987281	0.987281	1	1	AT4G01112;
Meso	M_001	M_102	4	589	154	0.446271	0.752315	1	1	AT4G01109;AT4G01179;AT4G01180;AT4G01349;
Meso	M_001	M_103	2	696	154	0.914476	0.914476	1	1	AT4G01067;AT4G01179;
Meso	M_001	M_104	3	621	154	0.70159	0.752315	1	1	AT4G01180;AT4G01481;AT4G01487;
Meso	M_001	M_105	2	555	154	0.83499	0.83499	1	1	AT4G01067;AT4G01349;
Meso	M_001	M_106	1	601	154	0.970851	0.970851	1	1	AT4G01159;
Meso	M_001	M_107	4	502	154	0.332548	0.752315	1	1	AT4G01072;AT4G01108;AT4G01109;AT4G01112;
Meso	M_001	M_108	2	566	154	0.843025	0.843025	1	1	AT4G01178;AT4G01487;
Meso	M_001	M_109	3	576	154	0.652215	0.752315	1	1	AT4G01112;AT4G01178;AT4G01419;
Meso	M_001	M_110	1	507	154	0.949054	0.949054	1	1	AT4G01391;
Meso	M_001	M_111	2	664	154	0.900414	0.900414	1	1	AT4G01159;AT4G01285;
Meso	M_001	M_112	6	671	154	0.195376	0.752315	1	1	AT4G01067;AT4G01072;AT4G01159;AT4G01180;AT4G01285;AT4G01391;
Meso	M_001	M_113	2	662	154	0.899468	0.899468	1	1	AT4G01108;AT4G01376;
Meso	M_001	M_114	5	647	154	0.322021	0.752315	1	1	AT4G01178;AT4G01180;AT4G01216;AT4G01376;AT4G01481;
Meso	M_001	M_115	3	646	154	0.726649	0.752315	1	1	AT4G01102;AT4G01349;AT4G01391;
Meso	M_001	M_116	2	686	154	0.910293	0.910293	1	1	AT4G01197;AT4G01544;
Meso	M_001	M_117	1	516	154	0.951702	0.951702	1	1	AT4G01391;
Meso	M_001	M_118	3	664	154	0.743661	0.752315	1	1	AT4G01349;AT4G01391;AT4G01419;
Meso	M_001	M_119	0	652	154	1	1	1	1	
Meso	M_001	M_120	0	715	154	1	1	1	1	
Meso	M_001	M_121	2	699	154	0.915694	0.915694	1	1	AT4G01112;AT4G01180;
Meso	M_001	M_122	1	691	154	0.982953	0.982953	1	1	AT4G01180;
Meso	M_001	M_123	7	633	154	0.0762204	0.752315	1	1	AT4G01102;AT4G01112;AT4G01159;AT4G01180;AT4G01349;AT4G01376;AT4G01419;
Meso	M_001	M_124	2	463	154	0.752163	0.752315	1	1	AT4G01109;AT4G01487;
Meso	M_001	M_125	4	665	154	0.540612	0.752315	1	1	AT4G01067;AT4G01159;AT4G01481;AT4G01487;
Meso	M_001	M_126	4	635	154	0.504245	0.752315	1	1	AT4G01102;AT4G01109;AT4G01112;AT4G01544;
Meso	M_001	M_127	3	742	154	0.807871	0.807871	1	1	AT4G01067;AT4G01073;AT4G01108;
Meso	M_001	M_128	5	822	154	0.520227	0.752315	1	1	AT4G01109;AT4G01216;AT4G01349;AT4G01376;AT4G01481;
Meso	M_001	M_129	10	576	154	0.00201611	0.0685477	0.310481	1	AT4G01102;AT4G01109;AT4G01112;AT4G01159;AT4G01179;AT4G01197;AT4G01285;AT4G01419;AT4G01481;AT4G01487;
Meso	M_001	M_130	1	788	154	0.990458	0.990458	1	1	AT4G01109;
Meso	M_001	M_131	4	718	154	0.6014	0.752315	1	1	AT4G01178;AT4G01197;AT4G01349;AT4G01391;
Meso	M_001	M_132	7	748	154	0.145208	0.752315	1	1	AT4G01067;AT4G01102;AT4G01112;AT4G01285;AT4G01391;AT4G01487;AT4G01544;
Meso	M_001	M_133	4	639	154	0.509167	0.752315	1	1	AT4G01109;AT4G01112;AT4G01179;AT4G01197;
Meso	M_001	M_134	4	541	154	0.383829	0.752315	1	1	AT4G01072;AT4G01109;AT4G01112;AT4G01419;
Meso	M_001	M_135	3	613	154	0.693215	0.752315	1	1	AT4G01067;AT4G01376;AT4G01419;
Meso	M_001	M_136	5	615	154	0.285863	0.752315	1	1	AT4G01072;AT4G01109;AT4G01178;AT4G01197;AT4G01216;
Meso	M_001	M_137	2	405	154	0.683362	0.752315	1	1	AT4G01179;AT4G01391;
Meso	M_001	M_138	2	537	154	0.821044	0.821044	1	1	AT4G01109;AT4G01159;
Meso	M_001	M_139	3	701	154	0.775996	0.775996	1	1	AT4G01067;AT4G01109;AT4G01391;
Meso	M_001	M_140	1	701	154	0.983942	0.983942	1	1	AT4G01073;
Meso	M_001	M_141	2	757	154	0.936292	0.936292	1	1	AT4G01285;AT4G01487;
Meso	M_001	M_142	4	762	154	0.648067	0.752315	1	1	AT4G01067;AT4G01109;AT4G01216;AT4G01391;
Meso	M_001	M_143	3	772	154	0.82872	0.82872	1	1	AT4G01102;AT4G01109;AT4G01419;
Meso	M_001	M_144	2	759	154	0.93691	0.93691	1	1	AT4G01102;AT4G01544;
Meso	M_001	M_145	6	667	154	0.191843	0.752315	1	1	AT4G01067;AT4G01102;AT4G01109;AT4G01197;AT4G01216;AT4G01391;
Meso	M_002	M_003	4	618	154	0.483099	0.752315	1	1	AT4G01049;AT4G01275;AT4G01404;AT4G01488;
Meso	M_002	M_004	2	549	154	0.830453	0.830453	1	1	AT4G01426;AT4G01480;
Meso	M_002	M_005	2	782	154	0.943622	0.943622	1	1	AT4G01488;AT4G01533;
Meso	M_002	M_006	1	590	154	0.968879	0.968879	1	1	AT4G01176;
Meso	M_002	M_007	4	954	154	0.807854	0.807854	1	1	AT4G01049;AT4G01331;AT4G01426;AT4G01467;
Meso	M_002	M_008	0	645	154	1	1	1	1	
Meso	M_002	M_009	5	775	154	0.468392	0.752315	1	1	AT4G01049;AT4G01055;AT4G01426;AT4G01467;AT4G01533;
Meso	M_002	M_010	1	680	154	0.981796	0.981796	1	1	AT4G01176;
Meso	M_002	M_011	4	696	154	0.576743	0.752315	1	1	AT4G01210;AT4G01235;AT4G01437;AT4G01469;
Meso	M_002	M_012	1	565	154	0.963893	0.963893	1	1	AT4G01437;
Meso	M_002	M_013	5	741	154	0.429899	0.752315	1	1	AT4G01403;AT4G01426;AT4G01431;AT4G01488;AT4G01497;
Meso	M_002	M_014	3	511	154	0.571244	0.752315	1	1	AT4G01331;AT4G01426;AT4G01537;
Meso	M_002	M_015	10	781	154	0.0159206	0.318412	1	1	AT4G01147;AT4G01150;AT4G01176;AT4G01331;AT4G01403;AT4G01426;AT4G01467;AT4G01484;AT4G01488;AT4G01497;
Meso	M_002	M_016	0	526	154	1	1	1	1	
Meso	M_002	M_017	2	363	154	0.624413	0.752315	1	1	AT4G01426;AT4G01497;
Meso	M_002	M_018	6	881	154	0.403433	0.752315	1	1	AT4G01049;AT4G01055;AT4G01235;AT4G01331;AT4G01475;AT4G01480;
Meso	M_002	M_019	1	579	154	0.966776	0.966776	1	1	AT4G01176;
Meso	M_002	M_020	2	739	154	0.930469	0.930469	1	1	AT4G01275;AT4G01469;
Meso	M_002	M_021	3	757	154	0.818548	0.818548	1	1	AT4G01275;AT4G01331;AT4G01431;
Meso	M_002	M_022	2	638	154	0.887444	0.887444	1	1	AT4G01147;AT4G01488;
Meso	M_002	M_023	3	735	154	0.802712	0.802712	1	1	AT4G01210;AT4G01331;AT4G01537;
Meso	M_002	M_024	4	634	154	0.503012	0.752315	1	1	AT4G01176;AT4G01235;AT4G01273;AT4G01275;
Meso	M_002	M_025	2	801	154	0.948652	0.948652	1	1	AT4G01426;AT4G01431;
Meso	M_002	M_026	4	686	154	0.56526	0.752315	1	1	AT4G01331;AT4G01403;AT4G01426;AT4G01484;
Meso	M_002	M_027	7	995	154	0.355893	0.752315	1	1	AT4G01210;AT4G01275;AT4G01331;AT4G01426;AT4G01469;AT4G01480;AT4G01484;
Meso	M_002	M_028	6	781	154	0.300503	0.752315	1	1	AT4G01150;AT4G01275;AT4G01331;AT4G01484;AT4G01497;AT4G01533;
Meso	M_002	M_029	1	621	154	0.974122	0.974122	1	1	AT4G01331;
Meso	M_002	M_030	2	598	154	0.864433	0.864433	1	1	AT4G01176;AT4G01403;
Meso	M_002	M_031	4	646	154	0.517728	0.752315	1	1	AT4G01049;AT4G01147;AT4G01403;AT4G01537;
Meso	M_002	M_032	4	701	154	0.582421	0.752315	1	1	AT4G01176;AT4G01404;AT4G01431;AT4G01488;
Meso	M_002	M_033	0	627	154	1	1	1	1	
Meso	M_002	M_034	4	747	154	0.632566	0.752315	1	1	AT4G01176;AT4G01210;AT4G01469;AT4G01533;
Meso	M_002	M_035	5	595	154	0.263685	0.752315	1	1	AT4G01273;AT4G01403;AT4G01426;AT4G01488;AT4G01537;
Meso	M_002	M_036	5	548	154	0.213447	0.752315	1	1	AT4G01469;AT4G01484;AT4G01488;AT4G01497;AT4G01537;
Meso	M_002	M_037	6	753	154	0.272545	0.752315	1	1	AT4G01150;AT4G01210;AT4G01426;AT4G01469;AT4G01488;AT4G01537;
Meso	M_002	M_038	4	841	154	0.722475	0.752315	1	1	AT4G01176;AT4G01273;AT4G01404;AT4G01475;
Meso	M_002	M_039	2	755	154	0.935669	0.935669	1	1	AT4G01210;AT4G01426;
Meso	M_002	M_040	1	680	154	0.981796	0.981796	1	1	AT4G01275;
Meso	M_002	M_041	2	616	154	0.875274	0.875274	1	1	AT4G01469;AT4G01497;
Meso	M_002	M_042	1	733	154	0.986737	0.986737	1	1	AT4G01497;
Meso	M_002	M_043	0	342	154	1	1	1	1	
Meso	M_002	M_044	1	725	154	0.986087	0.986087	1	1	AT4G01533;
Meso	M_002	M_045	3	570	154	0.645214	0.752315	1	1	AT4G01049;AT4G01469;AT4G01497;
Meso	M_002	M_046	1	565	154	0.963893	0.963893	1	1	AT4G01537;
Meso	M_002	M_047	2	640	154	0.888495	0.888495	1	1	AT4G01273;AT4G01533;
Meso	M_002	M_048	3	702	154	0.776822	0.776822	1	1	AT4G01055;AT4G01273;AT4G01275;
Meso	M_002	M_049	2	602	154	0.866914	0.866914	1	1	AT4G01331;AT4G01469;
Meso	M_002	M_050	1	660	154	0.979489	0.979489	1	1	AT4G01176;
Meso	M_002	M_051	1	723	154	0.98592	0.98592	1	1	AT4G01488;
Meso	M_002	M_052	0	607	154	1	1	1	1	
Meso	M_002	M_053	4	457	154	0.274	0.752315	1	1	AT4G01176;AT4G01431;AT4G01469;AT4G01484;
Meso	M_002	M_054	3	862	154	0.880071	0.880071	1	1	AT4G01273;AT4G01331;AT4G01488;
Meso	M_002	M_055	1	787	154	0.990401	0.990401	1	1	AT4G01488;
Meso	M_002	M_056	2	1019	154	0.982946	0.982946	1	1	AT4G01055;AT4G01488;
Meso	M_002	M_057	4	699	154	0.580155	0.752315	1	1	AT4G01275;AT4G01426;AT4G01431;AT4G01533;
Meso	M_002	M_058	1	751	154	0.988091	0.988091	1	1	AT4G01488;
Meso	M_002	M_059	4	799	154	0.684443	0.752315	1	1	AT4G01331;AT4G01484;AT4G01488;AT4G01533;
Meso	M_002	M_060	4	780	154	0.666097	0.752315	1	1	AT4G01210;AT4G01426;AT4G01431;AT4G01484;
Meso	M_002	M_061	1	493	154	0.944646	0.944646	1	1	AT4G01426;
Meso	M_002	M_062	2	543	154	0.825805	0.825805	1	1	AT4G01331;AT4G01431;
Meso	M_002	M_063	4	783	154	0.669041	0.752315	1	1	AT4G01273;AT4G01484;AT4G01533;AT4G01537;
Meso	M_002	M_064	3	481	154	0.53022	0.752315	1	1	AT4G01403;AT4G01437;AT4G01537;
Meso	M_002	M_065	1	517	154	0.951988	0.951988	1	1	AT4G01426;
Meso	M_002	M_066	6	569	154	0.114228	0.752315	1	1	AT4G01150;AT4G01331;AT4G01404;AT4G01467;AT4G01469;AT4G01537;
Meso	M_002	M_067	1	479	154	0.93986	0.93986	1	1	AT4G01426;
Meso	M_002	M_068	3	761	154	0.821309	0.821309	1	1	AT4G01403;AT4G01437;AT4G01480;
Meso	M_002	M_069	3	598	154	0.677043	0.752315	1	1	AT4G01176;AT4G01210;AT4G01331;
Meso	M_002	M_070	9	953	154	0.103354	0.752315	1	1	AT4G01055;AT4G01210;AT4G01403;AT4G01426;AT4G01431;AT4G01437;AT4G01467;AT4G01469;AT4G01537;
Meso	M_002	M_071	6	782	154	0.301513	0.752315	1	1	AT4G01055;AT4G01210;AT4G01426;AT4G01431;AT4G01467;AT4G01537;
Meso	M_002	M_072	3	653	154	0.733366	0.752315	1	1	AT4G01150;AT4G01275;AT4G01437;
Meso	M_002	M_073	2	736	154	0.929451	0.929451	1	1	AT4G01488;AT4G01533;
Meso	M_002	M_074	0	459	154	1	1	1	1	
Meso	M_002	M_075	3	673	154	0.751848	0.752315	1	1	AT4G01049;AT4G01426;AT4G01488;
Meso	M_002	M_076	2	633	154	0.884778	0.884778	1	1	AT4G01331;AT4G01488;
Meso	M_002	M_077	1	593	154	0.96943	0.96943	1	1	AT4G01426;
Meso	M_002	M_078	3	644	154	0.724706	0.752315	1	1	AT4G01235;AT4G01437;AT4G01480;
Meso	M_002	M_079	3	687	154	0.76417	0.76417	1	1	AT4G01426;AT4G01488;AT4G01537;
Meso	M_002	M_080	7	990	154	0.351163	0.752315	1	1	AT4G01177;AT4G01235;AT4G01331;AT4G01431;AT4G01437;AT4G01469;AT4G01488;
Meso	M_002	M_081	2	603	154	0.867528	0.867528	1	1	AT4G01275;AT4G01403;
Meso	M_002	M_082	1	678	154	0.981578	0.981578	1	1	AT4G01235;
Meso	M_002	M_083	4	705	154	0.586933	0.752315	1	1	AT4G01176;AT4G01235;AT4G01426;AT4G01533;
Meso	M_002	M_084	1	713	154	0.985053	0.985053	1	1	AT4G01235;
Meso	M_002	M_085	1	650	154	0.978229	0.978229	1	1	AT4G01273;
Meso	M_002	M_086	1	655	154	0.978868	0.978868	1	1	AT4G01176;
Meso	M_002	M_087	4	736	154	0.620928	0.752315	1	1	AT4G01049;AT4G01235;AT4G01469;AT4G01537;
Meso	M_002	M_088	4	759	154	0.645001	0.752315	1	1	AT4G01331;AT4G01426;AT4G01484;AT4G01537;
Meso	M_002	M_089	4	639	154	0.509167	0.752315	1	1	AT4G01176;AT4G01210;AT4G01331;AT4G01484;
Meso	M_002	M_090	1	680	154	0.981796	0.981796	1	1	AT4G01488;
Meso	M_002	M_091	4	615	154	0.479331	0.752315	1	1	AT4G01150;AT4G01331;AT4G01426;AT4G01431;
Meso	M_002	M_092	1	854	154	0.993579	0.993579	1	1	AT4G01210;
Meso	M_002	M_093	2	588	154	0.858046	0.858046	1	1	AT4G01049;AT4G01210;
Meso	M_002	M_094	2	578	154	0.851388	0.851388	1	1	AT4G01331;AT4G01426;
Meso	M_002	M_095	7	682	154	0.102676	0.752315	1	1	AT4G01210;AT4G01331;AT4G01426;AT4G01437;AT4G01467;AT4G01533;AT4G01537;
Meso	M_002	M_096	2	723	154	0.924877	0.924877	1	1	AT4G01426;AT4G01497;
Meso	M_002	M_097	3	705	154	0.779285	0.779285	1	1	AT4G01275;AT4G01469;AT4G01484;
Meso	M_002	M_098	2	683	154	0.909002	0.909002	1	1	AT4G01275;AT4G01497;
Meso	M_002	M_099	4	665	154	0.540612	0.752315	1	1	AT4G01275;AT4G01331;AT4G01467;AT4G01469;
Meso	M_002	M_100	3	606	154	0.685745	0.752315	1	1	AT4G01273;AT4G01488;AT4G01533;
Meso	M_002	M_101	2	726	154	0.925957	0.925957	1	1	AT4G01426;AT4G01469;
Meso	M_002	M_102	3	721	154	0.792048	0.792048	1	1	AT4G01176;AT4G01437;AT4G01484;
Meso	M_002	M_103	3	732	154	0.800466	0.800466	1	1	AT4G01176;AT4G01488;AT4G01533;
Meso	M_002	M_104	2	711	154	0.920409	0.920409	1	1	AT4G01049;AT4G01437;
Meso	M_002	M_105	3	644	154	0.724706	0.752315	1	1	AT4G01426;AT4G01533;AT4G01537;
Meso	M_002	M_106	6	661	154	0.186592	0.752315	1	1	AT4G01049;AT4G01210;AT4G01275;AT4G01331;AT4G01426;AT4G01537;
Meso	M_002	M_107	1	643	154	0.977301	0.977301	1	1	AT4G01537;
Meso	M_002	M_108	3	637	154	0.717821	0.752315	1	1	AT4G01273;AT4G01469;AT4G01533;
Meso	M_002	M_109	1	566	154	0.964107	0.964107	1	1	AT4G01437;
Meso	M_002	M_110	1	489	154	0.943319	0.943319	1	1	AT4G01426;
Meso	M_002	M_111	3	577	154	0.653372	0.752315	1	1	AT4G01431;AT4G01469;AT4G01475;
Meso	M_002	M_112	3	808	154	0.851172	0.851172	1	1	AT4G01426;AT4G01431;AT4G01467;
Meso	M_002	M_113	2	652	154	0.89461	0.89461	1	1	AT4G01426;AT4G01537;
Meso	M_002	M_114	1	760	154	0.988716	0.988716	1	1	AT4G01049;
Meso	M_002	M_115	3	789	154	0.839659	0.839659	1	1	AT4G01049;AT4G01235;AT4G01484;
Meso	M_002	M_116	3	618	154	0.69847	0.752315	1	1	AT4G01176;AT4G01273;AT4G01537;
Meso	M_002	M_117	2	522	154	0.808631	0.808631	1	1	AT4G01426;AT4G01537;
Meso	M_002	M_118	1	506	154	0.948751	0.948751	1	1	AT4G01437;
Meso	M_002	M_119	2	586	154	0.856737	0.856737	1	1	AT4G01497;AT4G01533;
Meso	M_002	M_120	0	582	154	1	1	1	1	
Meso	M_002	M_121	1	724	154	0.986004	0.986004	1	1	AT4G01437;
